policy_number,policy_title,type,version,link
0000,Vision,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=8kT94QvbUQplusIxrxslshgUJcjA==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0000,Vision,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=tOGIOZYDEM3lFO06jPPrBQ==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0100,Philosophy,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=alvcD4rtFICWoIGepDbxLw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0100,Philosophy,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=46nlKn1VnEfRuvcFchoywg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0200,Goals For The School District,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=mDbplusUkGkhcKl42WPJ1qc8g==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0200,Goals For The School District,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=bwK41wN4zn5PKBmAnHSYaA==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0400,Comprehensive Plans,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=GxhyhxG35zepJOTmO9yiFw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0400,Comprehensive Plans,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=zffI1RAr8YWNFesHcMX87Q==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0410,Nondiscrimination In District Programs And Activities,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=roMAslshHZfX3udGfms6Xqi5A==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0410,Nondiscrimination In District Programs And Activities,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=ZlslshbplusNdg9RLYSZBjIAQhRw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0415,quity,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=g4Vy8H9xu2ffiNnoymF0pw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0415,quity,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=ZZzl5OlQyXplusKNmLvyZsgZg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420,School Plans/Site Councils,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=701TsO5BMpOlWgJGpSGPKw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420,School Plans/Site Councils,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=zyo9IUslshmFqnL5plus7plusOWSwHQ==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420,School Plans/Site Councils,AR,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=JVws7IRbslshLfmjKZmHfgu6w==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420,School Plans/Site Councils,AR,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=4Vi0vcvGplusFdE89IOE2kdkg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.4,Charter School Authorization,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=98XHplusRa9OMPLH19Rras2Ow==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.4,Charter School Authorization,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=fIEecdHzxLndv2vNYmjN2g==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.4,Charter School Authorization,AR,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=MGXok0zIBqsUSYd9cWEwgQ==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.4,Charter School Authorization,AR,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=ayhDdY4oQnZooPBbCNhYyg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.41,Charter School Oversight,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=8Yc7FnktOeqcuyfrtgWlew==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.41,Charter School Oversight,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=V1EXuMquYAnb50c2j0aRslshQ==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.41-E(1),Charter School Oversight,E,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=gU8MOZbFckfIUWygDYzkag==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.41-E(1),Charter School Oversight,E,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=plusUmhoTcL2plusL8NTX0whd5iw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.42,Charter School Renewal,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=lbG1S6ASNcrneamslshzoyNug==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.42,Charter School Renewal,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=EvslshRIcevdlZcecGbVV6NYw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.43,Charter School Revocation,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=V2pcYKCdB6Hra8YtDm08hg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0420.43,Charter School Revocation,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=XqPpluste4slshwdYPAvVceBFslshwg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0430,Comprehensive Local Plan For Special ducation,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=XVme238ugBY4oxUcJZXwxg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0430,Comprehensive Local Plan For Special ducation,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=LvjTlNiX5DlEikl7QfT9Bg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0430,Comprehensive Local Plan For Special ducation,AR,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=twVmMWREioCJplusuzo68VKLw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0430,Comprehensive Local Plan For Special ducation,AR,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=iPmPpsprrvdYBl1Lrg5qYw==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0441,Artificial Intelligence,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=WQ7AKZWHQdMJCPzbtyIJYA==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0450,Comprehensive Safety Plan,BP,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=HSFs2ULp3zVhBSpmGXJedg==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0450,Comprehensive Safety Plan,BP,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=RslshMSRQ0uziommTvfDAl9ow==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0450,Comprehensive Safety Plan,AR,Current,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=VLphlcveGEtiCBf6plus8D7DA==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
0450,Comprehensive Safety Plan,AR,Proposed,https://simbli.eboardsolutions.com/Policy/ViewPolicy.aspx?S=36030508&revid=zpQ8PsFMIv3duf4XIS4S2Q==&ptid=rN1rk9wifRtPN8VSRCplusNnw==&secid=&PG=6&IRP=0&isPndg=false
